k,t1,t2,t3
1,4.323e-04,1.561e+01,4.950e-04
1,4.484e-04,1.561e+01,4.832e-04
1,4.340e-04,1.561e+01,4.885e-04
1,4.462e-04,1.561e+01,4.827e-04
1,4.392e-04,1.561e+01,4.942e-04
1,4.518e-04,1.561e+01,4.858e-04
1,4.513e-04,1.562e+01,4.803e-04
1,4.330e-04,1.561e+01,4.807e-04
1,4.464e-04,1.562e+01,4.905e-04
1,4.622e-04,1.562e+01,4.915e-04
1,4.324e-04,1.561e+01,4.807e-04
1,4.352e-04,1.561e+01,4.847e-04
1,4.363e-04,1.561e+01,4.858e-04
1,4.417e-04,1.562e+01,4.749e-04
1,4.545e-04,1.561e+01,4.974e-04
2,4.494e-04,9.005e+00,4.872e-04
2,4.491e-04,9.004e+00,4.805e-04
2,4.471e-04,9.004e+00,4.859e-04
2,4.461e-04,9.004e+00,4.947e-04
2,4.466e-04,9.004e+00,4.861e-04
2,4.279e-04,9.000e+00,4.768e-04
2,4.286e-04,9.005e+00,4.860e-04
2,4.619e-04,8.996e+00,4.962e-04
2,4.264e-04,9.005e+00,4.816e-04
2,4.393e-04,9.006e+00,4.855e-04
2,4.496e-04,9.005e+00,4.928e-04
2,4.512e-04,9.005e+00,4.850e-04
2,4.310e-04,9.000e+00,4.988e-04
2,4.314e-04,9.004e+00,4.881e-04
2,4.441e-04,9.004e+00,4.802e-04
4,4.299e-04,5.886e+00,4.795e-04
4,4.361e-04,5.885e+00,4.900e-04
4,4.461e-04,5.885e+00,4.880e-04
4,4.422e-04,5.886e+00,4.882e-04
4,4.425e-04,5.886e+00,4.774e-04
4,4.360e-04,5.885e+00,4.826e-04
4,4.623e-04,5.885e+00,4.926e-04
4,4.488e-04,5.885e+00,4.882e-04
4,4.417e-04,5.885e+00,4.950e-04
4,4.272e-04,5.885e+00,4.963e-04
4,4.403e-04,5.885e+00,4.785e-04
4,4.418e-04,5.885e+00,4.847e-04
4,4.280e-04,5.887e+00,4.882e-04
4,4.287e-04,5.885e+00,4.792e-04
4,4.357e-04,5.886e+00,4.814e-04
8,4.394e-04,4.389e+00,4.813e-04
8,4.360e-04,4.394e+00,4.835e-04
8,4.315e-04,4.395e+00,4.852e-04
8,4.515e-04,4.394e+00,4.774e-04
8,4.387e-04,4.394e+00,4.809e-04
8,4.327e-04,4.395e+00,4.783e-04
8,4.257e-04,4.393e+00,4.912e-04
8,4.162e-04,4.394e+00,4.813e-04
8,4.362e-04,4.394e+00,4.872e-04
8,4.508e-04,4.394e+00,4.803e-04
8,4.376e-04,4.394e+00,4.772e-04
8,4.474e-04,4.394e+00,4.800e-04
8,4.338e-04,4.394e+00,4.852e-04
8,4.259e-04,4.394e+00,4.837e-04
8,4.673e-04,4.394e+00,4.861e-04
16,4.339e-04,4.167e+00,4.839e-04
16,4.385e-04,4.163e+00,4.799e-04
16,4.317e-04,4.164e+00,4.826e-04
16,4.424e-04,4.162e+00,4.862e-04
16,4.482e-04,4.166e+00,4.748e-04
16,4.340e-04,4.168e+00,4.801e-04
16,4.371e-04,4.168e+00,4.858e-04
16,4.455e-04,4.170e+00,4.851e-04
16,4.321e-04,4.167e+00,4.929e-04
16,4.387e-04,4.162e+00,4.823e-04
16,4.310e-04,4.168e+00,4.853e-04
16,4.296e-04,4.169e+00,4.868e-04
16,4.339e-04,4.169e+00,4.811e-04
16,4.384e-04,4.165e+00,4.787e-04
16,4.193e-04,4.166e+00,4.845e-04
32,4.247e-04,3.717e+00,4.885e-04
32,4.286e-04,3.717e+00,4.825e-04
32,4.251e-04,3.718e+00,4.889e-04
32,4.379e-04,3.718e+00,4.809e-04
32,4.472e-04,3.719e+00,4.903e-04
32,4.330e-04,3.717e+00,4.800e-04
32,4.387e-04,3.717e+00,4.861e-04
32,4.337e-04,3.717e+00,4.800e-04
32,4.500e-04,3.717e+00,4.840e-04
32,4.342e-04,3.717e+00,4.788e-04
32,4.336e-04,3.718e+00,4.764e-04
32,4.452e-04,3.716e+00,4.745e-04
32,4.261e-04,3.718e+00,4.814e-04
32,4.404e-04,3.719e+00,4.864e-04
32,4.412e-04,3.716e+00,4.802e-04
64,4.312e-04,3.401e+00,4.876e-04
64,4.452e-04,3.402e+00,4.825e-04
64,4.270e-04,3.400e+00,4.909e-04
64,4.282e-04,3.401e+00,4.834e-04
64,4.347e-04,3.399e+00,4.838e-04
64,4.295e-04,3.402e+00,4.813e-04
64,4.308e-04,3.402e+00,4.885e-04
64,4.262e-04,3.400e+00,4.712e-04
64,4.302e-04,3.396e+00,4.785e-04
64,4.228e-04,3.401e+00,4.744e-04
64,4.309e-04,3.401e+00,4.805e-04
64,4.321e-04,3.399e+00,4.728e-04
64,4.155e-04,3.401e+00,4.756e-04
64,4.593e-04,3.401e+00,4.807e-04
64,4.175e-04,3.400e+00,4.701e-04
128,4.255e-04,3.282e+00,4.760e-04
128,4.391e-04,3.282e+00,4.789e-04
128,4.342e-04,3.282e+00,4.890e-04
128,4.341e-04,3.282e+00,4.833e-04
128,4.513e-04,3.283e+00,4.832e-04
128,4.165e-04,3.283e+00,4.741e-04
128,4.283e-04,3.283e+00,4.762e-04
128,4.288e-04,3.282e+00,4.796e-04
128,4.415e-04,3.282e+00,4.848e-04
128,4.298e-04,3.282e+00,4.855e-04
128,4.462e-04,3.279e+00,4.876e-04
128,4.478e-04,3.283e+00,4.842e-04
128,4.681e-04,3.282e+00,4.881e-04
128,4.201e-04,3.283e+00,4.756e-04
128,4.300e-04,3.283e+00,4.772e-04
256,4.377e-04,3.228e+00,4.697e-04
256,4.438e-04,3.228e+00,4.890e-04
256,4.405e-04,3.227e+00,4.874e-04
256,4.323e-04,3.228e+00,4.749e-04
256,4.339e-04,3.229e+00,4.777e-04
256,4.339e-04,3.228e+00,4.931e-04
256,4.475e-04,3.229e+00,4.889e-04
256,4.355e-04,3.230e+00,4.885e-04
256,4.383e-04,3.228e+00,4.871e-04
256,4.444e-04,3.229e+00,4.780e-04
256,4.389e-04,3.228e+00,4.886e-04
256,4.389e-04,3.229e+00,4.888e-04
256,4.568e-04,3.228e+00,4.776e-04
256,4.236e-04,3.229e+00,4.820e-04
256,4.154e-04,3.229e+00,4.781e-04
512,4.222e-04,3.208e+00,4.778e-04
512,4.401e-04,3.208e+00,4.878e-04
512,4.351e-04,3.207e+00,5.003e-04
512,4.254e-04,3.208e+00,4.841e-04
512,4.227e-04,3.208e+00,4.769e-04
512,4.281e-04,3.208e+00,4.849e-04
512,4.535e-04,3.205e+00,4.913e-04
512,4.238e-04,3.206e+00,4.918e-04
512,4.289e-04,3.207e+00,4.853e-04
512,4.480e-04,3.206e+00,4.816e-04
512,4.419e-04,3.206e+00,4.797e-04
512,4.393e-04,3.206e+00,4.885e-04
512,4.488e-04,3.204e+00,4.913e-04
512,4.280e-04,3.208e+00,4.900e-04
512,4.264e-04,3.204e+00,4.833e-04
1024,4.450e-04,3.199e+00,4.888e-04
1024,4.213e-04,3.200e+00,4.836e-04
1024,4.406e-04,3.200e+00,4.779e-04
1024,4.286e-04,3.199e+00,4.812e-04
1024,4.266e-04,3.200e+00,4.870e-04
1024,4.278e-04,3.200e+00,4.796e-04
1024,4.419e-04,3.201e+00,4.750e-04
1024,4.526e-04,3.197e+00,4.866e-04
1024,4.386e-04,3.197e+00,4.872e-04
1024,4.433e-04,3.196e+00,4.813e-04
1024,4.369e-04,3.199e+00,4.866e-04
1024,4.327e-04,3.197e+00,4.879e-04
1024,4.313e-04,3.197e+00,4.844e-04
1024,4.367e-04,3.196e+00,4.812e-04
1024,4.380e-04,3.198e+00,4.734e-04
